Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
Xiaomi Redmi Note 11 (MediaTek) Dual SIM 128 GB sea blue 4 GB RAM,1.439,Celulares e Smartphones,4.5,105.0,5.0,TODOTECH.
 Moto G4 Play Dual SIM 16 GB preto 2 GB RAM,"712,80",Celulares e Smartphones,3.1,88.0,5.0,TECMODENA
 Moto G7 Play Dual SIM 32 GB ouro-fino 2 GB RAM,"742,60",Celulares e Smartphones,4.6,254.0,5.0,TECMODENA
Apple iPhone 14 Plus (512 GB) - Meia-noite,9.899,Celulares e Smartphones,5.0,6.0,5.0,LOJA IPLACE
Apple iPhone 13 (256 GB) - Azul,5.599,Celulares e Smartphones,4.9,683.0,5.0,LOJA IPLACE
Motorola Edge 30 Ultra 256 GB white 12 GB RAM,5.409,Celulares e Smartphones,4.8,6.0,5.0,Mobcom
Apple iPhone 12 (256 GB) - (PRODUCT)RED,4.859,Celulares e Smartphones,4.8,792.0,5.0,Mobcom
 Moto G71 Dual SIM 128 GB arctic blue 6 GB RAM,"1.999,99",Celulares e Smartphones,4.7,339.0,5.0,SMARTSCAROL
 Moto G71 Dual SIM 128 GB arctic blue 6 GB RAM,"1.999,99",Celulares e Smartphones,4.7,339.0,5.0,SMARTSCAROL
 Moto E32 64 GB azul 4 GB RAM,"1.077,23",Celulares e Smartphones,4.7,343.0,5.0,SMARTSCAROL
Xiaomi Mi A3 Dual SIM 64 GB acinzentado 4 GB RAM,"1.115,30",Celulares e Smartphones,4.8,2022.0,5.0,MZ ELETRO
Xiaomi Pocophone Poco M5 (5 Mpx) Dual SIM 64 GB green 4 GB RAM,"1.039,99",Celulares e Smartphones,4.8,305.0,5.0,VIPCOMERCIO2019
Multilaser G Dual SIM 32 GB ouro 1 GB RAM,"627,30",Celulares e Smartphones,4.2,66.0,5.0,SHOP EBINHO
Samsung Galaxy S23 Ultra Dual SIM 512 GB lavender 12 GB RAM,7.999,Celulares e Smartphones,5.0,143.0,5.0,CELLFONE1
Apple iPhone 14 Plus (512 GB) - (PRODUCT)RED,9.999,Celulares e Smartphones,5.0,6.0,5.0,Iplace
Apple iPhone 14 Pro (1 TB) - Dourado,11.999,Celulares e Smartphones,4.9,58.0,5.0,Iplace
Xiaomi Redmi Note 11 Pro+ 5G (Snapdragon) Dual SIM 256 GB stealth black 8 GB RAM,"2.788,04",Celulares e Smartphones,4.7,187.0,5.0,CV.VARIEDADES
Apple iPhone 14 Pro (512 GB) - Dourado,10.416,Celulares e Smartphones,4.9,58.0,5.0,FASTSHOP OFICIAL
Motorola Edge 20 Pro Dual SIM 256 GB branco 12 GB RAM,"3.220,96",Celulares e Smartphones,4.7,165.0,5.0,NEGOCIUN-SP
Apple iPhone 13 Pro Max (256 GB) - Prateado,"8.189,09",Celulares e Smartphones,4.9,136.0,5.0,MAKEUPHOUSE_ONLINE
Apple iPhone 11 (64 GB) - Preto,3.900,Celulares e Smartphones,4.5,2573.0,5.0,VATRA STORE.COM.BR
Apple iPhone 14 Pro Max (1 TB) - Roxo-profundo,12.928,Celulares e Smartphones,4.9,139.0,5.0,FASTSHOP OFICIAL
"Samsung Galaxy S21 FE 5G, 128gb de mémoria interna e 6gb de ram, dual chip, preto",1.939,Celulares e Smartphones,4.6,23.0,5.0,Mercado Livre
Celular Smartphone Motorola Moto E22 64gb 4gb 6.5 preto,769,Celulares e Smartphones,4.7,798.0,5.0,Mercado Livre
 Moto G42 Dual SIM 128 GB rosê 4 GB RAM,1.089,Celulares e Smartphones,4.8,303.0,5.0,Mercado Livre
Samsung Galaxy A14 (Exynos) 5G Dual SIM 128 GB silver 4 GB RAM,1.799,Celulares e Smartphones,5.0,5.0,5.0,Mercado Livre
Samsung Galaxy S22 Ultra (Snapdragon) Dual SIM 256 GB phantom black 12 GB RAM,4.999,Celulares e Smartphones,4.9,530.0,5.0,Mercado Livre
Samsung Galaxy A04s Dual SIM 64 GB green 4 GB RAM,839,Celulares e Smartphones,4.8,355.0,5.0,Mercado Livre
Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB graphite gray 6 GB RAM,"1.254,95",Celulares e Smartphones,4.7,4057.0,5.0,JEFERSON ELETROSTORE
 Moto E22 Dual SIM 128 GB azul 4 GB RAM,935,Celulares e Smartphones,4.7,1111.0,5.0,John Store
Samsung Galaxy A52 Dual SIM 128 GB lilás 6 GB RAM,1.798,Celulares e Smartphones,4.7,1111.0,5.0,VIKING
 Moto G22 Dual SIM 128 GB iceberg blue 4 GB RAM,"1.831,67",Celulares e Smartphones,4.6,4426.0,5.0,VIKING
Samsung Galaxy S20 FE 5G 5G Dual SIM 128 GB cloud navy 6 GB RAM,1.899,Celulares e Smartphones,4.8,2281.0,5.0,Mercado Livre
Samsung Galaxy A14 (MediaTek) 5G Dual SIM 128 GB silver 4 GB RAM,1.129,Celulares e Smartphones,4.6,274.0,5.0,Mercado Livre
Multilaser E Lite 2 Dual SIM 32 GB preto 1 GB RAM,269,Celulares e Smartphones,4.2,428.0,5.0,KILLECOMMERCE
 Moto G23 Dual SIM 128 GB azul 4 GB RAM,1.192,Celulares e Smartphones,4.9,57.0,5.0,Mercado Livre
Samsung Galaxy S22 (Snapdragon) Dual SIM 128 GB pink gold 8 GB RAM,3.149,Celulares e Smartphones,4.8,667.0,5.0,Mercado Livre
Samsung Galaxy A32 Dual SIM 128 GB violeta 4 GB RAM,1.399,Celulares e Smartphones,4.6,4628.0,5.0,SHOP EV
Samsung Galaxy A32 Dual SIM 128 GB preto 4 GB RAM,1.399,Celulares e Smartphones,4.6,4628.0,5.0,SHOP EV
Motorola Edge Edge 30 Neo Dual SIM 256 GB very peri 8 GB RAM,2.009,Celulares e Smartphones,4.6,105.0,5.0,Motorola
Samsung Galaxy A34 5G 128 GB lemongrass 6 GB RAM,1.659,Celulares e Smartphones,4.9,9.0,5.0,Mercado Livre
Samsung Galaxy M13 128 GB cobre 4 GB RAM,999,Celulares e Smartphones,4.8,11.0,5.0,Mercado Livre
Multilaser E Pro Dual SIM 32 GB preto 1 GB RAM,"296,65",Celulares e Smartphones,4.1,74.0,5.0,COMERCIOELETRONICOSEVARIEDADES
Samsung Galaxy S21 FE 5G (Exynos) 5G Dual SIM 128 GB lavender 6 GB RAM,2.581,Celulares e Smartphones,4.7,644.0,5.0,Mega Mamute
Samsung Galaxy S23 Plus Dual SIM 256 GB verde 8 GB RAM,5.499,Celulares e Smartphones,4.8,64.0,5.0,Mercado Livre
Samsung Galaxy A23 5G 5G 128 GB awesome black 4 GB RAM,1.699,Celulares e Smartphones,4.8,12.0,5.0,Mercado Livre
Samsung Galaxy S21 FE 5G (Exynos) 128 GB lavender 6 GB RAM,2.599,Celulares e Smartphones,4.6,366.0,5.0,Mercado Livre
Philco Hit P8 Dual SIM 32 GB dark blue 3 GB RAM,"510,31",Celulares e Smartphones,3.4,1500.0,5.0,COMMCENTER
LG K61 Dual SIM 128 GB branco 4 GB RAM,"1.259,10",Celulares e Smartphones,4.6,1114.0,5.0,LH TECH
Motorola One Action Dual SIM 128 GB denim blue 4 GB RAM,"1.161,60",Celulares e Smartphones,4.6,82.0,5.0,TECMODENA
Samsung Galaxy Z Fold4 256 GB preto 12 GB RAM,7.899,Celulares e Smartphones,5.0,3.0,5.0,Mercado Livre
Asus ZenFone 9 Dual SIM 256 GB preto 16 GB RAM,"5.279,12",Celulares e Smartphones,4.3,4.0,5.0,Asus
Xiaomi Redmi Note 10 Dual SIM 64 GB onyx gray 4 GB RAM,1.215,Celulares e Smartphones,4.7,1473.0,5.0,MZ ELETRO
